colour	size	x	y	showSelected1	group
#F8766D	2	3.21192108430851	9.375	all	1
#F8766D	2	3.36248247475117	3.125	all	1
#F8766D	2	3.51295107997249	6.25	all	1
#F8766D	2	3.66351247041516	0	all	1
#F8766D	2	3.81398107563647	0	all	1
#F8766D	2	3.96454246607914	0	all	1
#F8766D	2	4.11504439525841	6.25	all	1
#F8766D	2	4.26557246174312	6.25	all	1
#F8766D	2	4.41607439092239	6.25	all	1
#F8766D	2	4.5666024574071	6.25	all	1
#F8766D	2	4.71711271717635	6.25	all	1
#F8766D	2	4.86763245307108	18.75	all	1
#F8766D	2	5.0181468780754	25	all	1
