y	x	label	showSelected1	PANEL	group
5	118173.358	55 problems mean size 1.1 kb	1629	1	-1
5	118173.358	41 problems mean size 1.5 kb	2304	1	-1
5	118173.358	33 problems mean size 1.9 kb	3258	1	-1
5	118173.358	18 problems mean size 3.4 kb	4608	1	-1
5	118173.358	13 problems mean size 5.3 kb	6516	1	-1
5	118173.358	12 problems mean size 6.5 kb	9216	1	-1
5	118173.358	10 problems mean size 8.2 kb	13033	1	-1
5	118173.358	6 problems mean size 14.4 kb	18432	1	-1
5	118173.358	5 problems mean size 20.2 kb	26066	1	-1
5	118173.358	4 problems mean size 27.4 kb	36864	1	-1
5	118173.358	3 problems mean size 35.4 kb	52133	1	-1
5	118173.358	2 problems mean size 55.4 kb	73728	1	-1
5	118173.358	2 problems mean size 70.4 kb	104267	1	-1
