y	yend	x	xend	clickSelects	showSelected1	PANEL
0	0	118182.561	118183.144	chr11:118181821-118183691	3	2
0	0	118182.53	118182.677	chr11:118181821-118183691	4	2
0	0	118182.53	118182.677	chr11:118181821-118183691	4	3
0	0	118182.561	118183.144	chr11:118181821-118183691	2	4
0	0	118182.561	118183.144	chr11:118181821-118183691	3	4
0	0	118182.53	118182.677	chr11:118181821-118183691	4	4
0	0	118182.561	118183.144	chr11:118181821-118183691	1	5
0	0	118182.561	118183.144	chr11:118181821-118183691	2	5
0	0	118182.561	118183.144	chr11:118181821-118183691	3	5
0	0	118182.53	118182.677	chr11:118181821-118183691	4	5
