y	yend	x	xend	clickSelects	showSelected1	showSelected2	PANEL
0.05	0.05	118188.648	118189.932	chr11:118188402-118190759	chr11:118188402-118190759	1629	2
0.05	0.05	118192.522	118192.646	chr11:118191991-118192950	chr11:118191991-118192950	1629	2
0.05	0.05	118196.126	118196.228	chr11:118195386-118196748	chr11:118195386-118196748	1629	2
0.05	0.05	118192.522	118192.646	chr11:118191973-118193671	chr11:118191973-118193671	2304	2
0.05	0.05	118196.126	118196.274	chr11:118195894-118197229	chr11:118195894-118197229	2304	2
0.05	0.05	118197.961	118198.855	chr11:118197230-118198986	chr11:118197230-118198986	2304	2
0.05	0.05	118199.167	118199.733	chr11:118198987-118199961	chr11:118198987-118199961	2304	2
0.05	0.05	118203.968	118204.103	chr11:118203696-118204821	chr11:118203696-118204821	2304	2
0.05	0.05	118189.229	118189.569	chr11:118188915-118190753	chr11:118188915-118190753	3258	2
0.05	0.05	118191.234	118191.373	chr11:118190754-118191964	chr11:118190754-118191964	3258	2
0.05	0.05	118192.522	118192.646	chr11:118191965-118193492	chr11:118191965-118193492	3258	2
0.05	0.05	118196.126	118196.269	chr11:118195695-118197557	chr11:118195695-118197557	3258	2
0.05	0.05	118203.964	118204.103	chr11:118202618-118204895	chr11:118202618-118204895	3258	2
0.05	0.05	118206.077	118206.414	chr11:118205989-118207487	chr11:118205989-118207487	3258	2
0.05	0.05	118171.594	118171.694	chr11:118169294-118172593	chr11:118169294-118172593	4608	2
0.05	0.05	118196.126	118196.274	chr11:118194392-118197114	chr11:118194392-118197114	4608	2
0.05	0.05	118197.961	118200.186	chr11:118197194-118201802	chr11:118197194-118201802	4608	2
0.05	0.05	118192.372	118192.925	chr11:118190098-118195843	chr11:118190098-118195843	6516	2
0.05	0.05	118197.961	118200.186	chr11:118196423-118202427	chr11:118196423-118202427	6516	2
0.05	0.05	118163.83465	118165.484	chr11:118161082-118170298	chr11:118161082-118170298	9216	2
0.05	0.05	118197.961	118200.186	chr11:118195098-118202120	chr11:118195098-118202120	9216	2
0.05	0.05	118163.83465	118163.83465	chr11:118157970-118170571	chr11:118157970-118170571	13033	2
0.05	0.05	118192.372	118192.925	chr11:118190327-118195415	chr11:118190327-118195415	13033	2
0.05	0.05	118197.961	118200.186	chr11:118195416-118202706	chr11:118195416-118202706	13033	2
0.05	0.05	118163.83465	118163.83465	chr11:118153536-118169777	chr11:118153536-118169777	18432	2
0.05	0.05	118163.83465	118163.83465	chr11:118142322-118166080	chr11:118142322-118166080	26066	2
0.05	0.05	118163.83465	118163.83465	chr11:118139220-118170309	chr11:118139220-118170309	36864	2
0.05	0.05	118200.489	118200.97	chr11:118200162-118201432	chr11:118200162-118201432	1629	3
0.05	0.05	118221.131	118221.261	chr11:118220682-118221565	chr11:118220682-118221565	1629	3
0.05	0.05	118189.917	118190.53	chr11:118188438-118191972	chr11:118188438-118191972	2304	3
0.05	0.05	118200.489	118200.97	chr11:118199962-118201879	chr11:118199962-118201879	2304	3
0.05	0.05	118232.916	118233.134	chr11:118232530-118233179	chr11:118232530-118233179	2304	3
0.05	0.05	118198.616	118200.209	chr11:118197558-118200387	chr11:118197558-118200387	3258	3
0.05	0.05	118200.502	118200.97	chr11:118200388-118202617	chr11:118200388-118202617	3258	3
0.05	0.05	118228.873	118228.973	chr11:118228247-118229399	chr11:118228247-118229399	3258	3
0.05	0.05	118182.088	118182.678	chr11:118181805-118182930	chr11:118181805-118182930	1629	4
0.05	0.05	118183.089	118183.294	chr11:118182931-118183687	chr11:118182931-118183687	1629	4
0.05	0.05	118185.329	118185.486	chr11:118184701-118185739	chr11:118184701-118185739	1629	4
0.05	0.05	118187.061	118187.315	chr11:118186798-118187477	chr11:118186798-118187477	1629	4
0.05	0.05	118187.665	118188.157	chr11:118187478-118188401	chr11:118187478-118188401	1629	4
0.05	0.05	118190.986	118191.697	chr11:118190760-118191990	chr11:118190760-118191990	1629	4
0.05	0.05	118196.93	118197.134	chr11:118196749-118197629	chr11:118196749-118197629	1629	4
0.05	0.05	118199.562	118199.929	chr11:118199060-118200161	chr11:118199060-118200161	1629	4
0.05	0.05	118202.073	118202.169	chr11:118201433-118202458	chr11:118201433-118202458	1629	4
0.05	0.05	118203.611	118203.723	chr11:118202692-118203892	chr11:118202692-118203892	1629	4
0.05	0.05	118205.217	118205.644	chr11:118204409-118206012	chr11:118204409-118206012	1629	4
0.05	0.05	118212.116	118212.689	chr11:118211927-118213402	chr11:118211927-118213402	1629	4
0.05	0.05	118234.098	118234.277	chr11:118233719-118234653	chr11:118233719-118234653	1629	4
0.05	0.05	118187.689	118188.157	chr11:118186835-118188437	chr11:118186835-118188437	2304	4
0.05	0.05	118205.21	118205.644	chr11:118204822-118206054	chr11:118204822-118206054	2304	4
0.05	0.05	118212.093	118212.689	chr11:118211668-118213341	chr11:118211668-118213341	2304	4
0.05	0.05	118233.766	118233.914	chr11:118233180-118234772	chr11:118233180-118234772	2304	4
0.05	0.05	118187.681	118188.159	chr11:118186459-118188914	chr11:118186459-118188914	3258	4
0.05	0.05	118205.21	118205.644	chr11:118204896-118205988	chr11:118204896-118205988	3258	4
0.05	0.05	118212.093	118212.689	chr11:118211790-118213354	chr11:118211790-118213354	3258	4
0.05	0.05	118233.766	118233.912	chr11:118233231-118235084	chr11:118233231-118235084	3258	4
0.05	0.05	118187.023	118188.192	chr11:118185520-118189896	chr11:118185520-118189896	4608	4
0.05	0.05	118191.017	118191.697	chr11:118190281-118194391	chr11:118190281-118194391	4608	4
0.05	0.05	118205.21	118206.043	chr11:118202864-118207472	chr11:118202864-118207472	4608	4
0.05	0.05	118187.023	118188.192	chr11:118184431-118190097	chr11:118184431-118190097	6516	4
0.05	0.05	118205.172	118206.036	chr11:118202428-118208431	chr11:118202428-118208431	6516	4
