linetype	xmin	xmax	showSelected1	showSelected3	showSelected4	PANEL	group
0	118173.358	118176.231	chr11:118175144-118176570	1629	correct	2	1
0	118176.442	118181.782	chr11:118175144-118176570	1629	correct	2	1
1	118207.607	118211.434	chr11:118210640-118211926	1629	false positive	2	102
1	118213.055	118214.022	chr11:118211927-118213402	1629	false positive	2	103
1	118214.653	118215.916	chr11:118214880-118216310	1629	false positive	2	104
0	118216.57	118220.883	chr11:118216311-118217053	1629	correct	2	5
1	118222.047	118228.604	chr11:118227122-118228294	1629	false positive	2	106
0	118229.419	118230.534	chr11:118230212-118231217	1629	correct	2	7
0	118230.778	118232.881	chr11:118230212-118231217	1629	correct	2	7
1	118173.358	118176.231	chr11:118174866-118177024	2304	false positive	2	107
1	118176.442	118181.782	chr11:118174866-118177024	2304	false positive	2	107
0	118207.607	118211.434	chr11:118210926-118211667	2304	correct	2	9
0	118213.055	118214.022	chr11:118211668-118213341	2304	correct	2	10
0	118214.653	118215.916	chr11:118214905-118217190	2304	correct	2	11
0	118216.57	118220.883	chr11:118214905-118217190	2304	correct	2	11
1	118222.047	118228.604	chr11:118224813-118226715	2304	false positive	2	110
0	118229.419	118230.534	chr11:118230179-118231781	2304	correct	2	13
0	118230.778	118232.881	chr11:118230179-118231781	2304	correct	2	13
0	118173.358	118176.231	chr11:118175139-118176578	3258	correct	2	14
0	118176.442	118181.782	chr11:118175139-118176578	3258	correct	2	14
1	118207.607	118211.434	chr11:118209536-118211789	3258	false positive	2	112
0	118213.055	118214.022	chr11:118211790-118213354	3258	correct	2	16
1	118214.653	118215.916	chr11:118214509-118217408	3258	false positive	2	113
1	118216.57	118220.883	chr11:118214509-118217408	3258	false positive	2	113
1	118222.047	118228.604	chr11:118221068-118225263	3258	false positive	2	114
0	118229.419	118230.534	chr11:118229400-118231571	3258	correct	2	19
0	118230.778	118232.881	chr11:118229400-118231571	3258	correct	2	19
1	118173.358	118176.231	chr11:118174953-118176654	4608	false positive	2	115
1	118176.442	118181.782	chr11:118174953-118176654	4608	false positive	2	115
0	118207.607	118211.434	chr11:118209252-118213860	4608	correct	2	21
0	118213.055	118214.022	chr11:118209252-118213860	4608	correct	2	21
1	118214.653	118215.916	chr11:118214496-118218828	4608	false positive	2	117
1	118216.57	118220.883	chr11:118214496-118218828	4608	false positive	2	117
1	118222.047	118228.604	chr11:118224849-118228003	4608	false positive	2	118
0	118229.419	118230.534	chr11:118228456-118231646	4608	correct	2	24
0	118230.778	118232.881	chr11:118228456-118231646	4608	correct	2	24
1	118173.358	118176.231	chr11:118174946-118177139	6516	false positive	2	119
1	118176.442	118181.782	chr11:118174946-118177139	6516	false positive	2	119
0	118207.607	118211.434	chr11:118208777-118213897	6516	correct	2	26
0	118213.055	118214.022	chr11:118208777-118213897	6516	correct	2	26
1	118214.653	118215.916	chr11:118213898-118218859	6516	false positive	2	121
1	118216.57	118220.883	chr11:118213898-118218859	6516	false positive	2	121
0	118222.047	118228.604	chr11:118218860-118229258	6516	correct	2	28
0	118229.419	118230.534	chr11:118229259-118233705	6516	correct	2	29
0	118230.778	118232.881	chr11:118229259-118233705	6516	correct	2	29
1	118173.358	118176.231	chr11:118171577-118178639	9216	false positive	2	122
1	118176.442	118181.782	chr11:118171577-118178639	9216	false positive	2	122
0	118207.607	118211.434	chr11:118208371-118214262	9216	correct	2	31
0	118213.055	118214.022	chr11:118208371-118214262	9216	correct	2	31
1	118214.653	118215.916	chr11:118214263-118219522	9216	false positive	2	124
1	118216.57	118220.883	chr11:118214263-118219522	9216	false positive	2	124
0	118222.047	118228.604	chr11:118219523-118225461	9216	correct	2	33
0	118229.419	118230.534	chr11:118226161-118233711	9216	correct	2	34
0	118230.778	118232.881	chr11:118226161-118233711	9216	correct	2	34
1	118173.358	118176.231	chr11:118170572-118179444	13033	false positive	2	125
1	118176.442	118181.782	chr11:118170572-118179444	13033	false positive	2	125
0	118207.607	118211.434	chr11:118207606-118220428	13033	correct	2	36
0	118213.055	118214.022	chr11:118207606-118220428	13033	correct	2	36
0	118214.653	118215.916	chr11:118207606-118220428	13033	correct	2	36
0	118216.57	118220.883	chr11:118207606-118220428	13033	correct	2	36
0	118222.047	118228.604	chr11:118224254-118234051	13033	correct	2	37
0	118229.419	118230.534	chr11:118224254-118234051	13033	correct	2	37
0	118230.778	118232.881	chr11:118224254-118234051	13033	correct	2	37
1	118173.358	118176.231	chr11:118169778-118184378	18432	false positive	2	127
1	118176.442	118181.782	chr11:118169778-118184378	18432	false positive	2	127
0	118207.607	118211.434	chr11:118208100-118222359	18432	correct	2	39
0	118213.055	118214.022	chr11:118208100-118222359	18432	correct	2	39
0	118214.653	118215.916	chr11:118208100-118222359	18432	correct	2	39
0	118216.57	118220.883	chr11:118208100-118222359	18432	correct	2	39
0	118222.047	118228.604	chr11:118222360-118239987	18432	correct	2	40
0	118229.419	118230.534	chr11:118222360-118239987	18432	correct	2	40
0	118230.778	118232.881	chr11:118222360-118239987	18432	correct	2	40
1	118173.358	118176.231	chr11:118166081-118182712	26066	false positive	2	129
1	118176.442	118181.782	chr11:118166081-118182712	26066	false positive	2	129
0	118207.607	118211.434	chr11:118200904-118225604	26066	correct	2	42
0	118213.055	118214.022	chr11:118200904-118225604	26066	correct	2	42
0	118214.653	118215.916	chr11:118200904-118225604	26066	correct	2	42
0	118216.57	118220.883	chr11:118200904-118225604	26066	correct	2	42
0	118222.047	118228.604	chr11:118200904-118225604	26066	correct	2	42
0	118229.419	118230.534	chr11:118225605-118243804	26066	correct	2	43
0	118230.778	118232.881	chr11:118225605-118243804	26066	correct	2	43
0	118173.358	118176.231	chr11:118170310-118195238	36864	correct	2	44
0	118176.442	118181.782	chr11:118170310-118195238	36864	correct	2	44
0	118207.607	118211.434	chr11:118195500-118224233	36864	correct	2	45
0	118213.055	118214.022	chr11:118195500-118224233	36864	correct	2	45
0	118214.653	118215.916	chr11:118195500-118224233	36864	correct	2	45
0	118216.57	118220.883	chr11:118195500-118224233	36864	correct	2	45
0	118222.047	118228.604	chr11:118224234-118249203	36864	correct	2	46
0	118229.419	118230.534	chr11:118224234-118249203	36864	correct	2	46
0	118230.778	118232.881	chr11:118224234-118249203	36864	correct	2	46
0	118173.358	118176.231	chr11:118150742-118195371	52133	correct	2	47
0	118176.442	118181.782	chr11:118150742-118195371	52133	correct	2	47
0	118207.607	118211.434	chr11:118195372-118224236	52133	correct	2	48
0	118213.055	118214.022	chr11:118195372-118224236	52133	correct	2	48
0	118214.653	118215.916	chr11:118195372-118224236	52133	correct	2	48
0	118216.57	118220.883	chr11:118195372-118224236	52133	correct	2	48
0	118222.047	118228.604	chr11:118224237-118256837	52133	correct	2	49
0	118229.419	118230.534	chr11:118224237-118256837	52133	correct	2	49
0	118230.778	118232.881	chr11:118224237-118256837	52133	correct	2	49
0	118173.358	118176.231	chr11:118139927-118194115	73728	correct	2	50
0	118176.442	118181.782	chr11:118139927-118194115	73728	correct	2	50
1	118207.607	118211.434	chr11:118194116-118250799	73728	false positive	2	136
1	118213.055	118214.022	chr11:118194116-118250799	73728	false positive	2	136
1	118214.653	118215.916	chr11:118194116-118250799	73728	false positive	2	136
1	118216.57	118220.883	chr11:118194116-118250799	73728	false positive	2	136
0	118222.047	118228.604	chr11:118194116-118250799	73728	correct	2	51
3	118229.419	118230.534	chr11:118194116-118250799	73728	false negative	2	98
3	118230.778	118232.881	chr11:118194116-118250799	73728	false negative	2	98
0	118173.358	118176.231	chr11:118125367-118194817	104267	correct	2	52
0	118176.442	118181.782	chr11:118125367-118194817	104267	correct	2	52
1	118207.607	118211.434	chr11:118194818-118266077	104267	false positive	2	138
1	118213.055	118214.022	chr11:118194818-118266077	104267	false positive	2	138
1	118214.653	118215.916	chr11:118194818-118266077	104267	false positive	2	138
1	118216.57	118220.883	chr11:118194818-118266077	104267	false positive	2	138
0	118222.047	118228.604	chr11:118194818-118266077	104267	correct	2	53
3	118229.419	118230.534	chr11:118194818-118266077	104267	false negative	2	100
3	118230.778	118232.881	chr11:118194818-118266077	104267	false negative	2	100
1	118173.358	118176.231	chr11:118175144-118176570	1629	false positive	3	101
