y	x	PANEL	group
0	118167.406	2	-1
1	118167.453	2	-1
1	118167.501	2	-1
0	118167.548	2	-1
1	118167.596	2	-1
1	118167.644	2	-1
0	118167.691	2	-1
0	118167.739	2	-1
0	118167.787	2	-1
0	118167.834	2	-1
0	118167.882	2	-1
0	118167.93	2	-1
0	118167.977	2	-1
4	118168.025	2	-1
9	118168.073	2	-1
5	118168.12	2	-1
1	118168.168	2	-1
1	118168.216	2	-1
1	118168.263	2	-1
0	118168.311	2	-1
0	118168.358	2	-1
3	118168.406	2	-1
3	118168.454	2	-1
3	118168.501	2	-1
3	118168.549	2	-1
2	118168.597	2	-1
0	118168.644	2	-1
2	118168.692	2	-1
1	118168.74	2	-1
2	118168.787	2	-1
2	118168.835	2	-1
0	118168.883	2	-1
0	118168.93	2	-1
0	118168.978	2	-1
0	118169.026	2	-1
0	118169.073	2	-1
0	118169.121	2	-1
0	118169.169	2	-1
0	118169.216	2	-1
0	118169.264	2	-1
0	118169.311	2	-1
0	118169.359	2	-1
0	118169.407	2	-1
0	118169.454	2	-1
0	118169.502	2	-1
0	118169.55	2	-1
0	118169.597	2	-1
0	118169.645	2	-1
0	118169.693	2	-1
0	118169.74	2	-1
0	118169.788	2	-1
0	118169.836	2	-1
0	118169.883	2	-1
0	118169.931	2	-1
0	118169.979	2	-1
0	118170.026	2	-1
0	118170.074	2	-1
0	118170.122	2	-1
0	118170.169	2	-1
0	118170.217	2	-1
0	118170.264	2	-1
0	118170.312	2	-1
0	118170.36	2	-1
0	118170.407	2	-1
0	118170.455	2	-1
0	118170.503	2	-1
0	118170.55	2	-1
0	118170.598	2	-1
0	118170.646	2	-1
0	118170.693	2	-1
0	118170.741	2	-1
0	118170.789	2	-1
0	118170.836	2	-1
0	118170.884	2	-1
0	118170.932	2	-1
0	118170.979	2	-1
0	118171.027	2	-1
0	118171.075	2	-1
0	118171.122	2	-1
0	118171.17	2	-1
0	118171.217	2	-1
0	118171.265	2	-1
0	118171.313	2	-1
0	118171.36	2	-1
0	118171.408	2	-1
0	118171.456	2	-1
0	118171.503	2	-1
3	118171.551	2	-1
6	118171.599	2	-1
3	118171.646	2	-1
3	118171.694	2	-1
0	118171.742	2	-1
1	118171.789	2	-1
2	118171.837	2	-1
1	118171.885	2	-1
0	118171.932	2	-1
0	118171.98	2	-1
0	118172.028	2	-1
0	118172.075	2	-1
1	118172.123	2	-1
2	118172.17	2	-1
1	118172.218	2	-1
2	118172.266	2	-1
1	118172.313	2	-1
0	118172.361	2	-1
0	118172.409	2	-1
0	118172.456	2	-1
0	118172.504	2	-1
0	118172.552	2	-1
0	118172.599	2	-1
0	118172.647	2	-1
2	118172.695	2	-1
2	118172.742	2	-1
0	118172.79	2	-1
0	118172.838	2	-1
0	118172.885	2	-1
0	118172.933	2	-1
0	118172.981	2	-1
1	118173.028	2	-1
2	118173.076	2	-1
4	118173.123	2	-1
7	118173.171	2	-1
6	118173.219	2	-1
4	118173.266	2	-1
3	118173.314	2	-1
0	118173.362	2	-1
0	118173.409	2	-1
1	118173.457	2	-1
1	118173.505	2	-1
4	118173.552	2	-1
7	118173.6	2	-1
4	118173.648	2	-1
2	118173.695	2	-1
4	118173.743	2	-1
2	118173.791	2	-1
0	118173.838	2	-1
0	118173.886	2	-1
0	118173.934	2	-1
0	118173.981	2	-1
0	118174.029	2	-1
0	118174.076	2	-1
0	118174.124	2	-1
0	118174.172	2	-1
0	118174.219	2	-1
0	118174.267	2	-1
0	118174.315	2	-1
0	118174.362	2	-1
1	118174.41	2	-1
1	118174.458	2	-1
1	118174.505	2	-1
1	118174.553	2	-1
0	118174.601	2	-1
0	118174.648	2	-1
0	118174.696	2	-1
4	118174.744	2	-1
9	118174.791	2	-1
5	118174.839	2	-1
1	118174.887	2	-1
1	118174.934	2	-1
0	118174.982	2	-1
1	118175.029	2	-1
1	118175.077	2	-1
3	118175.125	2	-1
3	118175.172	2	-1
7	118175.22	2	-1
9	118175.268	2	-1
6	118175.315	2	-1
3	118175.363	2	-1
0	118175.411	2	-1
1	118175.458	2	-1
1	118175.506	2	-1
3	118175.554	2	-1
4	118175.601	2	-1
5	118175.649	2	-1
4	118175.697	2	-1
5	118175.744	2	-1
8	118175.792	2	-1
9	118175.84	2	-1
7	118175.887	2	-1
3	118175.935	2	-1
2	118175.982	2	-1
2	118176.03	2	-1
4	118176.078	2	-1
6	118176.125	2	-1
6	118176.173	2	-1
13	118176.221	2	-1
18	118176.268	2	-1
11	118176.316	2	-1
13	118176.364	2	-1
17	118176.411	2	-1
6	118176.459	2	-1
2	118176.507	2	-1
1	118176.554	2	-1
1	118176.602	2	-1
1	118176.65	2	-1
1	118176.697	2	-1
3	118176.745	2	-1
4	118176.793	2	-1
2	118176.84	2	-1
0	118176.888	2	-1
0	118176.935	2	-1
0	118176.983	2	-1
0	118177.031	2	-1
0	118177.078	2	-1
0	118177.126	2	-1
0	118177.174	2	-1
0	118177.221	2	-1
0	118177.269	2	-1
0	118177.317	2	-1
0	118177.364	2	-1
0	118177.412	2	-1
0	118177.46	2	-1
0	118177.507	2	-1
0	118177.555	2	-1
3	118177.603	2	-1
3	118177.65	2	-1
3	118177.698	2	-1
3	118177.745	2	-1
2	118177.793	2	-1
0	118177.841	2	-1
1	118177.888	2	-1
2	118177.936	2	-1
2	118177.984	2	-1
2	118178.031	2	-1
0	118178.079	2	-1
1	118178.127	2	-1
1	118178.174	2	-1
1	118178.222	2	-1
3	118178.27	2	-1
2	118178.317	2	-1
0	118178.365	2	-1
4	118178.413	2	-1
7	118178.46	2	-1
6	118178.508	2	-1
3	118178.556	2	-1
1	118178.603	2	-1
0	118178.651	2	-1
0	118178.698	2	-1
1	118178.746	2	-1
1	118178.794	2	-1
2	118178.841	2	-1
3	118178.889	2	-1
1	118178.937	2	-1
1	118178.984	2	-1
0	118179.032	2	-1
0	118179.08	2	-1
0	118179.127	2	-1
0	118179.175	2	-1
3	118179.223	2	-1
5	118179.27	2	-1
3	118179.318	2	-1
4	118179.366	2	-1
7	118179.413	2	-1
5	118179.461	2	-1
6	118179.509	2	-1
8	118179.556	2	-1
6	118179.604	2	-1
5	118179.651	2	-1
4	118179.699	2	-1
6	118179.747	2	-1
3	118179.794	2	-1
1	118179.842	2	-1
2	118179.89	2	-1
2	118179.937	2	-1
0	118179.985	2	-1
0	118180.033	2	-1
0	118180.08	2	-1
0	118180.128	2	-1
0	118180.176	2	-1
0	118180.223	2	-1
0	118180.271	2	-1
7	118180.319	2	-1
9	118180.366	2	-1
7	118180.414	2	-1
5	118180.462	2	-1
3	118180.509	2	-1
6	118180.557	2	-1
3	118180.604	2	-1
1	118180.652	2	-1
1	118180.7	2	-1
11	118180.747	2	-1
10	118180.795	2	-1
13	118180.843	2	-1
9	118180.89	2	-1
3	118180.938	2	-1
5	118180.986	2	-1
8	118181.033	2	-1
8	118181.081	2	-1
4	118181.129	2	-1
5	118181.176	2	-1
4	118181.224	2	-1
11	118181.272	2	-1
11	118181.319	2	-1
12	118181.367	2	-1
12	118181.415	2	-1
6	118181.462	2	-1
6	118181.51	2	-1
1	118181.557	2	-1
0	118181.605	2	-1
0	118181.653	2	-1
0	118181.7	2	-1
0	118181.748	2	-1
0	118181.796	2	-1
0	118181.843	2	-1
0	118181.891	2	-1
4	118181.939	2	-1
4	118181.986	2	-1
0	118182.034	2	-1
0	118182.082	2	-1
0	118182.129	2	-1
0	118182.177	2	-1
2	118182.225	2	-1
5	118182.272	2	-1
4	118182.32	2	-1
1	118182.368	2	-1
1	118182.415	2	-1
1	118182.463	2	-1
3	118182.51	2	-1
3	118182.558	2	-1
3	118182.606	2	-1
3	118182.653	2	-1
2	118182.701	2	-1
2	118182.749	2	-1
2	118182.796	2	-1
2	118182.844	2	-1
1	118182.892	2	-1
1	118182.939	2	-1
1	118182.987	2	-1
0	118183.035	2	-1
1	118183.082	2	-1
1	118183.13	2	-1
1	118183.178	2	-1
1	118183.225	2	-1
1	118183.273	2	-1
2	118183.321	2	-1
1	118183.368	2	-1
0	118183.416	2	-1
0	118183.463	2	-1
0	118183.511	2	-1
0	118183.559	2	-1
0	118183.606	2	-1
0	118183.654	2	-1
0	118183.702	2	-1
1	118183.749	2	-1
1	118183.797	2	-1
1	118183.845	2	-1
1	118183.892	2	-1
3	118183.94	2	-1
3	118183.988	2	-1
2	118184.035	2	-1
3	118184.083	2	-1
1	118184.131	2	-1
0	118184.178	2	-1
0	118184.226	2	-1
0	118184.274	2	-1
0	118184.321	2	-1
0	118184.369	2	-1
0	118184.416	2	-1
0	118184.464	2	-1
0	118184.512	2	-1
0	118184.559	2	-1
0	118184.607	2	-1
0	118184.655	2	-1
0	118184.702	2	-1
0	118184.75	2	-1
0	118184.798	2	-1
0	118184.845	2	-1
1	118184.893	2	-1
1	118184.941	2	-1
2	118184.988	2	-1
2	118185.036	2	-1
1	118185.084	2	-1
